"","money"
"208","Iranian President Hassan Rouhani inaugurated on Sunday a newly built extension to the country's main Arabian Sea outlet, the strategic Chabahar Port on the Gulf of Oman, which more than triples its capacity and poses a challenge for a port under c..."
"209","BP said on Wednesday it plans to build its third plant for blending lubricants in China for about 1.5 billion yuan ($227 million) as it looks to meet the country's rapidly growing demand. "
"210","Britain's easyJet will start competing with Lufthansa's airlines on domestic German routes from Berlin next month, following its planned takeover of parts of insolvent Air Berlin, it said on Wednesday."
"211","Swiss consumer goods company Nestle says it is buying Atrium Innovations, a privately-held maker of nutritional health products, for $2.3 billion in cash."
"212","About 51 million Americans are expected to fly on U.S. airlines in the three weeks around Christmas and New Year's Day, a 3.5 percent increase over last year."
"213","The son of a Russian lawmaker was sentenced to 14 years in prison on Thursday for his role in a cyber crime ring that stole and sold people's credit card numbers, the U.S. Justice Department said."
"214","The Ohio Supreme Court said on Wednesday it will not temporarily halt the state's efforts to recoup $60 million from one of the nation's largest online charter schools, which says it could soon be forced to close in the middle of the school year."
"215","Italian cable maker Prysmian has agreed to buy General Cable for $30 a share in an all-cash deal that values its Kentucky-based rival at about $3 billion (2.22 billion pounds), including debt and other liabilities."
"216","British packaging company RPC Group Plc said its profit jumped 59 percent in the first half of the year, helped by acquisitions, cost savings and favourable currency movements."
"217","Kansas legislators are headed toward considering a second big tax increase within a year because of a state Supreme Court order to boost funding for public schools, though even vocal supporters of education spending find the prospect unappealing."
"218","The Brazilian unit of Wal-Mart Stores Inc. has decided to integrate its physical retail and e-commerce activities, as well as expand its so-called online marketplace operations, the company said in a statement on Tuesday."
"219","Oil markets will not overheat as they did during a price spike in the last decade as global demand is rising fast and the alliance of OPEC and non-OPEC countries is working well, the head of Russia's top private producer Lukoil said.&#160;"
"220","The Senate tax bill has been marketed by Republicans as a tax cut for the middle class. How would people in your income group fare?"
"221","Major British business groups and trade unions called on Wednesday for Britain and the European Union to end the uncertainty around citizens' rights after Brexit and guarantee before Christmas that there will be no change."
"222","Promsvyazbank (PSB), one of Russia's biggest private lenders, said on Tuesday its N1.1 capital ratio was expected to reach 7.4 pct as of January 1, 2018 after it sold an asset worth 8 billion roubles (101.41 million pounds)."
"223","Payless ShoeSource is putting its corporate headquarters in Topeka, Kansas, up for sale."
"224","French consumer electronics retailer Fnac Darty on Monday said it banked on merger synergies and its ability to deliver sales growth above that of its markets to nearly double its operating margin mid-term."
"225","Oil fell on Monday after U.S. shale drillers added more rigs last week, but prices still held close to their highest since mid-2015, supported by an extension of output cuts agreed last week by OPEC and other producers. "
"226","Brazil's prosecutor general officially presented money laundering and criminal association charges against six people, including a former federal minister and a congressman, Brazilian media reported on Monday evening."
"227","Oil markets will not overheat as they did during a price spike in the last decade as global demand is rising fast and the alliance of OPEC and non-OPEC countries is working well, the head of Russia's top private producer Lukoil said.&#160;"
"228","New York state Comptroller Thomas DiNapoli is asking Wells Fargo &amp; Co to disclose more information about employee incentive pay, an issue that was at the heart of a scandal that has roiled the third-largest U.S. lender for more than a year."
"229","Nashville, Tennessee, is among four finalists for a pair of Major League Soccer expansion teams after government financing for a new stadium was approved this month."
"230","The antitrust review of Bayer's planned takeover of Monsanto is going into ""unimaginable depths,"" Bayer's Chief Executive Werner Baumann said on Wednesday, but added he remained confident that the deal would be closed early next year."
"231","German cities will call on the government to immediately release 1 billion euros (&#163;903 million) of promised funding to cut diesel pollution and help them avert a potential ban on diesel vehicles.  "
